Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$7,505,757,333.43",$617.18,"12,161,375 BTC",-0.68%,2.42%,-29.26%
2.0,LTCLitecoin,LTC,"$407,576,814.52",$16.86,"24,181,092 LTC",-0.21%,0.65%,-45.92%
3.0,XRPXRP,XRP,"$169,773,560.84",$0.02172,"7,817,889,792 XRP",-0.88%,0.61%,-25.01%
4.0,PPCPeercoin,PPC,"$64,141,315.83",$3.0612,"20,952,910 PPC",-0.58%,0.64%,-30.43%
5.0,NXTNxt,NXT,"$33,240,148.04",$0.03324,"999,998,016 NXT",-9.54%,83.10%,370.48%
6.0,NMCNamecoin,NMC,"$30,563,713.11",$4.0425,"7,560,543 NMC",1.20%,0.95%,-30.60%
7.0,QRKQuark,QRK,"$20,966,260.30",$0.08499,"246,703,424 QRK",0.16%,-2.97%,-53.66%
8.0,PTSBitShares PTS,PTS,"$15,276,674.70",$12.91,"1,183,445 PTS",-0.75%,2.08%,-22.61%
9.0,WDCWorldCoin,WDC,"$14,089,213.89",$0.3853,"36,564,004 WDC",-3.13%,1.54%,-35.21%
10.0,MECMegacoin,MEC,"$11,094,799.84",$0.5186,"21,395,624 MEC",-1.25%,-0.20%,-37.18%
11.0,XPMPrimecoin,XPM,"$7,517,762.08",$2.0367,"3,691,159 XPM",-1.71%,1.06%,-47.59%
12.0,FTCFeathercoin,FTC,"$7,045,544.63",$0.2592,"27,180,250 FTC",-1.21%,3.35%,-40.37%
13.0,NVCNovacoin,NVC,"$6,087,466.25",$11.50,"529,434 NVC",-0.95%,1.67%,-33.71%
14.0,ZETZetacoin,ZET,"$5,296,156.92",$0.0333,"159,029,264 ZET",3.64%,-5.91%,-45.64%
15.0,DOGEDogecoin,DOGE,"$3,706,589.80",$0.0003148,"11,775,856,640 DOGE",-3.04%,-20.97%,-33.05%
16.0,IFCInfinitecoin,IFC,"$3,154,708.70",$0.0000354,"89,110,020,096 IFC",-2.44%,1.81%,-41.55%
17.0,DVCDevcoin,DVC,"$3,152,653.92",$0.0005308,"5,939,720,192 DVC",0.35%,-1.86%,-66.75%
18.0,FRCFreicoin,FRC,"$2,787,772.87",$0.0803,"34,719,084 FRC",4.52%,6.76%,-46.03%
19.0,DGCDigitalcoin,DGC,"$2,419,598.18",$0.2076,"11,654,357 DGC",-4.24%,-14.26%,-61.24%
20.0,CLRCopperlark,CLR,"$2,281,039.22",$0.4257,"5,358,249 CLR",-0.65%,-0.78%,-32.95%
,Anoncoin,,,,,,,
,Ixcoin,,,,,,,
,Terracoin,,,,,,,
,Bullion,,,,,,,
,BBQCoin,,,,,,,
,GoldCoin,,,,,,,
,Deutsche eMark,,,,,,,
,Unobtanium,,,,,,,
,NetCoin,,,,,,,
,Sexcoin,,,,,,,
,Tickets,,,,,,,
,Fastcoin,,,,,,,
,Tigercoin,,,,,,,
,Datacoin,,,,,,,
,Yacoin,,,,,,,
,TagCoin,,,,,,,
,StableCoin,,,,,,,
,GrandCoin,,,,,,,
,Mincoin,,,,,,,
,FLO,,,,,,,
,GlobalCoin,,,,,,,
,I0Coin,,,,,,,
,BitBar,,,,,,,
,Orbitcoin,,,,,,,
,BetaCoin,,,,,,,
,Philosopher Stones,,,,,,,
,Diamond,,,,,,,
,Bytecoin,,,,,,,
,Luckycoin,,,,,,,
,Argentum,,,,,,,
,Franko,,,,,,,
,Phoenixcoin,,,,,,,
,CasinoCoin,,,,,,,
,HoboNickels,,,,,,,
,Joulecoin,,,,,,,
,Noirbits,,,,,,,
,EZCoin,,,,,,,
,Junkcoin,,,,,,,
,Spots,,,,,,,
,CraftCoin,,,,,,,
